d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7310779297,huntsville / decatur,6877,2010,acura,tsx tech pkg,excellent,4 cylinders,gas,159000,rebuilt,automatic,,fwd,,sedan,black,al
7310779020,huntsville / decatur,6877,2009,acura,tsx,excellent,4 cylinders,gas,179000,rebuilt,automatic,,fwd,,sedan,black,al
7310768304,huntsville / decatur,6795,2011,hyundai,sonata,,4 cylinders,gas,135000,clean,automatic,,rwd,,,red,al
7310739484,huntsville / decatur,22990,2014,lexus,is 250,,6 cylinders,gas,72526,clean,automatic,JTHCF1D25E5004261,,,sedan,white,al
7310603965,huntsville / decatur,7950,2006,toyota,corolla,good,4 cylinders,gas,189515,clean,automatic,2T1BU4EE1AC509384,fwd,,,red,al
7310601335,huntsville / decatur,12694,2017,kia,sorento,,,gas,106264,clean,automatic,5XYPG4A3XHG218026,,,,,al
7310601034,huntsville / decatur,27800,2018,chevrolet,impala,like new,6 cylinders,gas,16920,clean,automatic,,fwd,full-size,sedan,white,al
7310599284,huntsville / decatur,12950,2014,ford,taurus limited,excellent,6 cylinders,gas,91309,clean,automatic,1FAHP2F87EG134743,fwd,,sedan,red,al
7310598823,huntsville / decatur,8450,2009,nissan,maxima 3.5 sv,good,6 cylinders,gas,191365,clean,automatic,1N4AA51E29C805590,,,,grey,al
7310598383,huntsville / decatur,25450,2017,ford,mustang gt premium,like new,8 cylinders,gas,113868,clean,manual,1FA6P8CF9H5248871,rwd,,,white,al
7310597817,huntsville / decatur,23450,2014,ford,mustang gt,excellent,8 cylinders,gas,74589,clean,manual,1ZVBP8CF0E5247254,,,,blue,al
7310593253,huntsville / decatur,18450,2013,ford,mustang gt,excellent,8 cylinders,gas,139194,clean,manual,1ZVBP8CF4D5211596,rwd,,,red,al
7310591364,huntsville / decatur,16900,2012,ford,f250,,,gas,148000,clean,automatic,,,,,,al
7310587944,huntsville / decatur,22900,2012,ford,f350,,,gas,165000,clean,automatic,,,,,,al
7310587333,huntsville / decatur,19900,2014,ford,f250,,,gas,146000,clean,automatic,,,,,,al
7310586712,huntsville / decatur,21900,2013,ford,f350,,,gas,181000,clean,automatic,,,,,,al
7310583399,huntsville / decatur,22900,2016,ford,f250,,,gas,161000,clean,automatic,,,,,,al
7310577528,huntsville / decatur,13450,2006,dodge,magnum srt8,excellent,8 cylinders,gas,134341,clean,automatic,2D8GV77396H430592,,,wagon,black,al
7310569748,huntsville / decatur,12900,2008,chevrolet,tahoe,,8 cylinders,gas,192707,clean,automatic,1GNFK13088R144772,4wd,,,blue,al
7310541137,huntsville / decatur,24900,2012,ford,f250,,,gas,155000,clean,automatic,,,,,,al
7310529958,huntsville / decatur,6950,2011,nissan,quest,,,gas,54443,rebuilt,automatic,,,,,,al
7310517012,huntsville / decatur,4488,2001,ford,f350 dually utility,good,8 cylinders,gas,200000,clean,automatic,,rwd,full-size,truck,white,al
7310497239,huntsville / decatur,15590,2016,,Scion iM Hatchback 4D,good,,other,64923,clean,other,JTNKARJE6GJ504489,fwd,,hatchback,blue,al
7310485082,huntsville / decatur,10989,2012,cadillac,cts sedan,,6 cylinders,gas,119810,clean,automatic,1G6DL5E36C0112284,,,sedan,silver,al
7310482947,huntsville / decatur,7500,2013,toyota,prius,good,4 cylinders,gas,123168,clean,automatic,,fwd,,hatchback,blue,al
7310478806,huntsville / decatur,24990,2014,acura,mdx sh-awd sport utility,good,6 cylinders,gas,52396,clean,automatic,5FRYD4H81EB042046,,,SUV,silver,al
7310472545,huntsville / decatur,30590,2018,dodge,challenger gt coupe 2d,good,6 cylinders,gas,24790,clean,other,2C3CDZGG2JH272219,,,coupe,black,al
7310454091,huntsville / decatur,38590,2019,acura,mdx sh-awd w/technology,good,,other,14906,clean,other,5J8YD4H52KL002706,,,other,white,al
7310448692,huntsville / decatur,19989,2016,ford,flex,,6 cylinders,gas,73898,clean,automatic,2FMGK5D88GBA01343,fwd,,SUV,grey,al
7310447204,huntsville / decatur,6500,2006,chevrolet,impala,,6 cylinders,gas,131803,clean,automatic,2G1WU581269340315,fwd,,sedan,silver,al
7310422333,huntsville / decatur,25990,2014,dodge,challenger r/t classic,good,8 cylinders,gas,37374,clean,other,2C3CDYBT2EH136869,rwd,,coupe,white,al
7310410874,huntsville / decatur,0,2016,ford,expedition,,6 cylinders,gas,123575,clean,automatic,1FMJU1KT3GEF49514,rwd,,SUV,black,al
7310403535,huntsville / decatur,11400,2013,kia,sportage,,4 cylinders,gas,92986,clean,other,KNDPBCA2XD7460869,4wd,,SUV,blue,al
7310403341,huntsville / decatur,11587,2013,ford,escape,,4 cylinders,gas,215046,clean,other,1FMCU0J92DUD22213,fwd,,SUV,black,al
7310399630,huntsville / decatur,36400,2017,chevrolet,silverado,,,other,69988,clean,automatic,3GCUKSECXHG120065,4wd,,pickup,silver,al
7310393752,huntsville / decatur,18000,2016,,Focus ST,excellent,4 cylinders,gas,68000,lien,manual,1FADP3L98GL279480,fwd,mid-size,hatchback,red,al
7310393382,huntsville / decatur,10900,2015,jeep,cherokee,,,gas,160328,clean,automatic,1C4PJLCB0FW560021,fwd,,SUV,red,al
7310386783,huntsville / decatur,7900,2009,nissan,maxima,,,gas,148470,clean,automatic,1N4AA51E79C819954,fwd,,sedan,blue,al
7310379093,huntsville / decatur,20400,2012,chevrolet,avalanche,,,other,101507,clean,automatic,3GNTKEE7XCG115545,4wd,,other,black,al
7310370208,huntsville / decatur,29990,2019,dodge,challenger gt coupe 2d,good,6 cylinders,gas,6600,clean,other,2C3CDZJG8KH677740,rwd,,coupe,green,al
7310370066,huntsville / decatur,23900,2015,ram,1500,,,diesel,107663,clean,automatic,1C6RR7FM0FS511955,4wd,,pickup,silver,al
7310338594,huntsville / decatur,39590,2019,acura,mdx sh-awd w/technology,good,6 cylinders,gas,8919,clean,other,5J8YD4H50KL008682,,,other,,al
7310332966,huntsville / decatur,36990,,,des-Benz E-Class,,4 cylinders,gas,30967,clean,other,WDDZF4JB7JA379223,rwd,,sedan,silver,al
